Product Name,Description,Unit Price,Labor Time,Part Code,Category
Hunter MP Rotator 1000,Medium-range rotary nozzle for even water distribution,12.50,0.25,MP-1000,Rotators
Rain Bird 1804 Spray Head,4-inch pop-up spray head with adjustable arc,8.75,0.30,RB-1804,Spray Heads
Toro Blue Stripe Dripline,12-inch spacing dripline for gardens,0.85,0.10,TS-BLUE-12,Drip Irrigation
Irritrol 205B Control Valve,1-inch electric control valve with flow control,45.25,1.00,IR-205B,Valves
Hunter Pro-C Controller,6-station expandable controller,165.00,2.50,PC-600,Controllers
Rain Bird XFS Dripline,6-inch spacing dripline for shrubs,0.95,0.10,XFS-06,Drip Irrigation
Netafim Techline,16mm dripline with 12-inch emitter spacing,0.75,0.08,TL-16-12,Drip Irrigation
Hunter I-25 Sprinkler,4-inch gear-driven rotor sprinkler,35.50,0.75,I-25-04,Rotors
Toro 570 Series Nozzle,Fixed spray nozzle - 15 foot radius,4.25,0.15,570-15,Nozzles
Rain Bird XF Filter,100 mesh filter for drip irrigation,8.50,0.20,XF-100,Filters